quarter,zip_code,tract
2010_03,90065,06037186401
2010_03,90065,06037186402
2010_03,90065,06037199000
2010_03,90065,06037199400
2010_03,90065,06037302102
2010_03,90065,06037302502
2010_03,90066,06037271400
2010_03,90066,06037271500
2010_03,90066,06037271600
2010_03,90066,06037271702
2010_03,90066,06037271801
2010_03,90066,06037271900
2010_03,90066,06037272100
2010_03,90066,06037272200
2010_03,90066,06037272301
2010_03,90066,06037272302
2010_03,90066,06037273100
2010_03,90066,06037273700
2010_03,90066,06037273800
2010_03,90066,06037275100
2010_03,90066,06037275200
2010_03,90066,06037275302
2010_03,90066,06037275311
2010_03,90066,06037275400
2010_03,90066,06037275510
2010_03,90066,06037275601
2010_03,90066,06037702802
2010_03,90066,06037702803
2010_03,90067,06037267100
2010_03,90067,06037267900
2010_03,90068,06037143700
2010_03,90068,06037143800
2010_03,90068,06037188200
2010_03,90068,06037189300
2010_03,90068,06037189400
2010_03,90068,06037189500
2010_03,90068,06037189600
2010_03,90068,06037189701
2010_03,90068,06037189702
2010_03,90068,06037190100
2010_03,90068,06037194100
2010_03,90069,06037194200
2010_03,90069,06037194300
2010_03,90069,06037194400
2010_03,90069,06037700300
2010_03,90069,06037700400
2010_03,90069,06037700500
2010_03,90071,06037207500
2010_03,90071,06037207710
2010_03,90073,06037701100
2010_03,90077,06037141600
2010_03,90077,06037261200
2010_03,90077,06037262100
2010_03,90077,06037262200
2010_03,90077,06037265100
2010_03,90077,06037265301
2010_03,90079,06037207900
2010_03,90089,06037222700
2010_03,90089,06037231100
2010_03,90090,06037197110
2010_03,90094,06037275601
2010_03,90095,06037265301
2010_03,90210,06037141700
2010_03,90210,06037143901
2010_03,90210,06037143902
2010_03,90210,06037194300
2010_03,90210,06037261101
2010_03,90210,06037261102
2010_03,90210,06037261200
2010_03,90210,06037262100
2010_03,90210,06037700500
2010_03,90210,06037700600
2010_03,90210,06037700700
2010_03,90210,06037700800
2010_03,90211,06037214900
2010_03,90211,06037700800
2010_03,90211,06037700901
2010_03,90211,06037700902
2010_03,90212,06037269000
2010_03,90212,06037269100
2010_03,90212,06037700700
2010_03,90212,06037700800
2010_03,90212,06037700902
2010_03,90212,06037701000
2010_03,90230,06037275100
2010_03,90230,06037275510
2010_03,90230,06037275520
2010_03,90230,06037275601
2010_03,90230,06037702501
2010_03,90230,06037702502
2010_03,90230,06037702600
2010_03,90230,06037702700
2010_03,90230,06037702801
2010_03,90230,06037702802
2010_03,90230,06037703001
2010_03,90230,06037703002
2010_03,90232,06037236000
2010_03,90232,06037269901
2010_03,90232,06037269902
2010_03,90232,06037270100
2010_03,90232,06037270200
2010_03,90232,06037702400
2010_03,90232,06037702501
2010_03,90232,06037702502
2010_03,90232,06037702801
2010_03,90245,06037278000
2010_03,90245,06037620001
2010_03,90245,06037620002
2010_03,90245,06037620003
2010_03,90245,06037620101
2010_03,90245,06037620102
2010_03,90247,06037291110
2010_03,90247,06037291120
2010_03,90247,06037291130
2010_03,90247,06037291210
2010_03,90247,06037291220
2010_03,90247,06037602800
2010_03,90247,06037602900
2010_03,90247,06037603001
