year,zip_code,unemployment_rate,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_below_24,unemployment_rate_age_between_25_44,unemployment_rate_age_above_45,unemployment_rate_white,unemployment_rate_black,unemployment_rate_hispanic,unemployment_rate_other_races
2012,90210,7.3,6.0,10.7,91.1,9.4,14.700000000000001,7.9,17.4,3.9,142.7
2012,90211,8.3,5.6,9.8,16.1,4.4,47.9,9.1,0.0,0.0,233.4
2012,90212,12.1,11.1,12.1,52.699999999999996,12.2,38.400000000000006,12.0,0.0,7.7,319.4
2012,90230,9.9,8.8,9.4,70.5,8.5,21.5,9.8,10.0,13.4,324.5
2012,90232,8.8,6.5,11.3,34.0,8.2,24.4,6.9,10.5,12.2,299.6
2012,90245,5.9,6.2,5.5,24.200000000000003,4.3,13.6,6.0,14.5,3.9,229.6
2012,90247,10.1,9.9,8.6,52.599999999999994,9.3,39.599999999999994,10.8,9.8,12.2,279.5
2012,90248,10.3,13.8,6.7,41.5,10.2,26.700000000000003,8.9,3.5,11.4,167.29999999999998
2012,90250,8.7,7.2,8.7,55.7,7.4,39.1,4.9,12.7,6.9,257.8
2012,90262,13.4,12.2,12.8,57.8,11.9,17.5,14.7,15.2,13.3,178.10000000000002
2012,90265,8.9,10.2,8.9,20.2,11.5,22.3,8.5,24.8,5.5,125.60000000000001
2012,90272,10.0,8.1,13.1,67.9,9.0,30.4,10.2,0.0,26.3,306.9
2012,90275,5.7,4.6,7.1,36.7,6.0,14.9,5.2,3.5,6.3,162.3
2012,90280,13.7,11.0,14.1,65.6,11.0,33.4,12.6,17.1,13.6,347.6
2012,90290,10.1,13.2,6.7,37.0,13.2,27.5,10.6,0.0,6.0,323.9
2012,90291,9.5,10.3,7.2,41.5,7.8,38.9,8.6,20.3,11.2,289.6
2012,90292,7.4,5.9,7.6,27.299999999999997,5.2,53.5,7.3,4.8,8.0,399.2
2012,90293,6.2,5.0,6.7,7.2,5.1,25.9,6.3,16.2,7.1,162.9
2012,90301,13.6,10.6,13.1,77.3,10.8,40.3,9.4,16.3,11.9,238.6
2012,90302,10.9,9.7,10.6,47.6,10.4,44.9,8.7,13.2,8.1,258.2
2012,90304,10.1,9.2,10.9,28.3,10.1,22.9,9.1,20.8,9.4,239.1
2012,90305,14.6,15.8,11.7,98.8,12.8,24.099999999999998,3.6,14.5,6.0,260.2
2012,90402,5.6,4.0,6.2,68.1,6.0,18.5,5.9,0.0,19.2,125.60000000000001
2012,90403,7.0,8.4,5.3,46.5,7.6,20.7,6.7,15.7,6.8,269.5
2012,90404,11.3,12.8,8.4,53.4,9.9,42.3,11.3,14.4,13.4,160.2
2012,90405,10.5,10.0,10.9,59.400000000000006,7.9,26.099999999999998,9.0,26.6,8.7,325.5
2012,90501,10.8,9.2,9.9,74.4,10.3,10.9,7.2,29.2,14.9,273.0
2012,90502,12.4,10.9,10.5,99.5,8.4,18.3,13.5,12.1,17.2,248.7
2012,90504,10.6,11.4,8.1,61.699999999999996,9.5,19.9,11.2,8.4,10.0,319.3
2012,90710,9.9,9.4,9.5,39.8,11.4,16.3,8.6,11.2,9.2,264.0
2012,90717,7.5,8.9,5.6,26.7,6.5,20.200000000000003,7.8,35.5,7.6,231.60000000000002
2012,90731,12.0,9.0,11.8,82.7,9.7,24.5,11.1,21.8,11.8,270.29999999999995
2012,90732,7.9,8.2,6.4,49.8,6.7,31.200000000000003,8.5,1.9,11.7,184.8
2012,90744,14.9,11.9,13.8,71.2,10.8,33.1,14.7,21.9,14.3,256.9
2012,90745,12.8,13.3,10.1,59.900000000000006,10.5,46.7,10.5,17.3,12.6,276.40000000000003
2012,90802,9.6,9.4,8.9,46.5,8.9,26.1,8.2,14.6,12.2,198.0
2012,90810,14.7,13.4,13.8,74.2,12.3,27.299999999999997,15.0,20.2,14.1,273.9
2012,90813,14.9,11.8,14.2,72.1,11.0,37.099999999999994,12.8,22.8,14.0,291.3
2012,91011,5.9,5.3,5.4,59.1,9.0,12.6,6.3,0.0,12.1,171.1
2012,91030,6.5,7.9,3.8,72.8,5.6,18.5,7.7,3.7,10.0,275.6
2012,91040,11.0,12.8,7.8,33.8,9.6,56.599999999999994,12.4,15.5,10.4,271.1
2012,91042,8.8,11.0,5.7,30.4,9.3,38.900000000000006,9.3,9.7,11.8,156.3
2012,91105,10.8,12.6,10.5,30.3,12.3,29.5,8.8,24.2,8.4,200.6
2012,91201,11.1,13.8,8.4,40.0,8.9,20.6,11.1,26.7,7.3,181.8
2012,91204,12.4,15.4,9.0,36.9,14.2,23.0,14.0,19.5,11.8,178.0
2012,91205,14.9,15.4,13.8,59.7,12.5,33.0,17.5,23.0,12.4,201.9
2012,91206,10.9,11.2,10.8,43.6,11.4,21.0,12.9,13.3,6.5,200.9
2012,91214,7.0,7.6,6.1,29.5,7.8,10.7,7.2,16.3,10.2,154.0
2012,91302,7.0,5.1,9.7,40.8,8.8,18.1,7.9,0.0,12.1,191.20000000000002
2012,91303,9.0,6.9,8.4,45.6,6.2,50.099999999999994,10.9,4.6,8.8,322.79999999999995
2012,91304,7.9,6.8,6.9,44.8,6.6,27.4,8.7,21.6,6.4,264.9
2012,91306,9.7,10.5,7.8,38.4,6.8,45.3,10.9,15.4,8.2,259.4
2012,91307,8.9,10.2,6.2,53.2,8.4,25.5,9.0,11.4,14.5,217.7
2012,91311,9.8,12.9,5.6,33.3,7.3,40.900000000000006,10.5,7.2,10.6,307.7
