year,zip_code,median_income,median_income_male,median_income_female,median_income_age_below_24,median_income_age_between_25_44,median_income_age_above_45,median_income_white,median_income_black,median_income_hispanic,median_income_other_races
2012,90061,35380.0,30804.25,26271.0,23678.0,33702.0,35455.5,29125.0,29763.0,38079.0,35200.333333333336
2012,90062,33951.0,27757.0,20583.0,38693.5,27456.0,34521.5,26760.0,27294.0,41859.0,42320.4
2012,90063,38801.0,31703.0,26998.5,32874.5,40396.0,35374.0,34552.0,39500.0,39152.0,48693.2
2012,90064,81240.0,65606.5,57435.75,70546.5,87114.0,79904.5,87742.5,92000.0,49542.0,82044.33333333333
2012,90065,55885.0,51871.0,44649.75,36820.0,60787.0,49817.0,66749.5,49167.0,43644.0,73168.6
2012,90066,65916.0,64468.75,54606.75,52095.5,67047.0,63280.5,73859.5,57727.0,49266.0,39735.4
2012,90067,82714.0,87159.0,61288.5,73152.0,66782.0,99791.5,83214.5,,42188.0,72969.0
2012,90068,70248.0,68101.0,62190.25,71664.0,71773.0,68529.5,73755.0,45353.0,60481.0,53296.5
2012,90069,75959.0,85885.25,64234.0,86125.0,85255.0,59339.0,75998.5,77715.0,78494.0,74718.33333333333
2012,90071,,,,,,,,,,
2012,90073,,,,,,,,,,
2012,90077,182270.0,163894.75,99650.5,150371.0,204464.0,171646.5,186666.5,87031.0,85313.0,157781.5
2012,90079,,,,,,,,,,
2012,90089,9926.0,,13333.0,13333.0,,9583.0,,,,
2012,90090,,,,,,,,,,
2012,90094,90046.0,101899.5,65667.25,138672.0,119883.0,78305.5,101614.5,60625.0,31953.0,98739.5
2012,90095,,,,,,,,,,
2012,90210,130071.0,104166.5,61463.0,103028.5,148750.0,132263.5,138807.0,57069.0,38711.0,64634.666666666664
2012,90211,70388.0,90045.5,59138.5,60127.5,74453.0,70025.5,68953.5,110041.0,68693.0,75341.0
2012,90212,81400.0,88610.0,79816.5,60350.0,87100.0,73405.0,83943.5,75788.0,49706.0,64382.666666666664
2012,90230,68322.0,77025.75,52767.75,60018.0,81791.0,58007.5,77447.5,51660.0,47500.0,64108.5
2012,90232,75366.0,63490.75,59055.5,88884.0,76379.0,70110.0,84562.0,72375.0,42352.0,56850.0
2012,90245,86364.0,75972.5,64182.25,65801.5,94904.0,71923.0,89684.0,56208.0,92523.0,82002.4
2012,90247,44612.0,39038.25,33877.0,35974.5,43537.0,42025.0,48968.5,44426.0,38706.0,54429.6
2012,90248,53571.0,43535.0,37954.333333333336,39421.0,53145.0,54381.0,54413.0,46856.0,38984.0,48012.0
2012,90250,46820.0,45976.5,39877.25,36769.5,45934.0,45408.0,59821.5,42128.0,43189.0,64907.2
2012,90262,42849.0,32887.5,30195.25,38791.0,41050.0,42743.5,41763.5,48788.0,43145.0,37785.25
2012,90265,131042.0,143183.75,59554.0,81116.5,135706.0,131324.0,129735.0,145521.0,105179.0,105062.66666666667
2012,90272,148984.0,98276.5,80858.75,160960.5,195769.0,139602.0,157404.5,56484.0,65054.0,128413.0
2012,90275,119792.0,100488.25,68830.0,153902.0,131667.0,116122.0,116473.0,84176.0,137861.0,113244.6
2012,90280,41851.0,32204.25,24339.75,34923.5,41210.0,39157.0,43495.5,27171.0,41562.0,50990.2
2012,90290,124015.0,74529.0,66208.25,173924.0,165179.0,113324.5,124500.0,,96200.0,114088.0
2012,90291,76578.0,69334.0,68639.75,58893.0,86630.0,61339.0,82076.5,55491.0,43878.0,47944.6
2012,90292,100314.0,103422.75,75912.75,101009.5,106804.0,93073.5,100837.0,109816.0,89417.0,65101.25
2012,90293,86788.0,78822.0,73942.0,83531.5,96458.0,78536.5,91643.5,66442.0,101875.0,94155.5
2012,90301,39894.0,34210.0,31926.5,28879.5,38601.0,35194.0,35622.0,40000.0,40565.0,61779.4
2012,90302,43482.0,47254.5,37418.0,36736.0,41597.0,40412.0,41545.0,45801.0,38325.0,54266.6
2012,90304,37056.0,32444.25,33462.5,27503.5,36985.0,37467.0,38878.5,31855.0,37676.0,39996.5
2012,90305,65893.0,57029.75,66102.25,75550.0,65804.0,62765.5,55669.0,66555.0,46678.0,53616.5
2012,90402,145153.0,115272.0,85236.5,,119048.0,156948.0,138281.0,21250.0,42841.0,154477.0
