year,zip_code,median_gross_rent
2017,90001,1051.0
2017,90002,1074.0
2017,90003,1133.0
2017,90004,1177.0
2017,90005,1060.0
2017,90006,1030.0
2017,90007,1111.0
2017,90008,1097.0
2017,90010,1692.0
2017,90011,1074.0
2017,90012,1327.0
2017,90013,810.0
2017,90014,1550.0
2017,90015,1064.0
2017,90016,1163.0
2017,90017,951.0
2017,90018,1050.0
2017,90019,1245.0
2017,90020,1221.0
2017,90021,473.0
2017,90023,1034.0
2017,90024,2068.0
2017,90025,1808.0
2017,90026,1213.0
2017,90027,1324.0
2017,90028,1273.0
2017,90029,1104.0
2017,90031,1072.0
2017,90032,1120.0
2017,90033,980.0
2017,90034,1566.0
2017,90035,1815.0
2017,90036,2055.0
2017,90037,1031.0
2017,90038,1161.0
2017,90039,1535.0
2017,90041,1338.0
2017,90042,1216.0
2017,90043,1070.0
2017,90044,1031.0
2017,90045,1842.0
2017,90046,1517.0
2017,90047,1157.0
2017,90048,1997.0
2017,90049,2108.0
2017,90056,1601.0
2017,90057,957.0
2017,90058,590.0
2017,90059,946.0
2017,90061,1147.0
2017,90062,1118.0
2017,90063,1073.0
2017,90064,1871.0
2017,90065,1187.0
2017,90066,1612.0
2017,90067,2442.0
2017,90068,1654.0
2017,90069,1724.0
2017,90071,
2017,90073,
2017,90077,2371.0
2017,90079,
2017,90089,
2017,90090,
2017,90094,2751.0
2017,90095,
2017,90210,2383.0
2017,90211,1819.0
2017,90212,2013.0
2017,90230,1621.0
2017,90232,1657.0
2017,90245,1681.0
2017,90247,1168.0
2017,90248,1219.0
2017,90250,1140.0
2017,90262,1123.0
2017,90265,2579.0
2017,90272,2364.0
2017,90275,2391.0
2017,90280,1072.0
2017,90290,1970.0
2017,90291,1861.0
2017,90292,2638.0
2017,90293,1963.0
2017,90301,1139.0
2017,90302,1208.0
2017,90304,1075.0
2017,90305,1362.0
2017,90402,1884.0
2017,90403,1765.0
2017,90404,1474.0
2017,90405,1650.0
2017,90501,1281.0
2017,90502,1425.0
2017,90504,1401.0
2017,90710,1119.0
2017,90717,1286.0
2017,90731,1214.0
2017,90732,1867.0
2017,90744,1064.0
2017,90745,1389.0
2017,90802,1153.0
2017,90810,1190.0
2017,90813,1008.0
2017,91011,2185.0
2017,91030,1555.0
2017,91040,1245.0
2017,91042,1261.0
2017,91105,2113.0
2017,91201,1401.0
2017,91204,1295.0
2017,91205,1295.0
2017,91206,1476.0
2017,91214,1715.0
2017,91302,2296.0
2017,91303,1354.0
2017,91304,1363.0
2017,91306,1272.0
2017,91307,2602.0
2017,91311,1762.0
2017,91316,1565.0
2017,91321,1463.0
2017,91324,1567.0
2017,91325,1419.0
2017,91326,1802.0
2017,91330,
2017,91331,1340.0
2017,91335,1286.0
2017,91340,1281.0
2017,91342,1470.0
2017,91343,1239.0
2017,91344,1674.0
2017,91345,1536.0
2017,91352,1284.0
2017,91356,1485.0
2017,91364,1937.0
2017,91367,1961.0
2017,91371,
2017,91401,1247.0
2017,91402,1169.0
2017,91403,1672.0
2017,91405,1164.0
2017,91406,1247.0
2017,91411,1269.0
2017,91423,1718.0
2017,91436,2137.0
2017,91501,1543.0
2017,91504,1475.0
2017,91505,1708.0
2017,91506,1485.0
2017,91601,1348.0
2017,91602,1578.0
2017,91604,1780.0
2017,91605,1222.0
2017,91606,1205.0
2017,91607,1394.0
2017,91608,
2017,91754,1233.0
2017,91801,1297.0
2017,91803,1254.0
2018,90001,1087.0
2018,90002,1147.0
2018,90003,1178.0
2018,90004,1229.0
2018,90005,1138.0
2018,90006,1071.0
2018,90007,1154.0
2018,90008,1157.0
2018,90010,1841.0
2018,90011,1123.0
2018,90012,1518.0
2018,90013,768.0
2018,90014,1559.0
2018,90015,1204.0
2018,90016,1204.0
2018,90017,1009.0
2018,90018,1122.0
2018,90019,1319.0
2018,90020,1303.0
2018,90021,548.0
2018,90023,1087.0
2018,90024,2157.0
2018,90025,1918.0
2018,90026,1284.0
2018,90027,1397.0
2018,90028,1364.0
2018,90029,1151.0
2018,90031,1114.0
2018,90032,1152.0
2018,90033,1032.0
2018,90034,1649.0
2018,90035,1864.0
2018,90036,2169.0
2018,90037,1060.0
2018,90038,1229.0
2018,90039,1642.0
2018,90041,1381.0
2018,90042,1281.0
2018,90043,1122.0
2018,90044,1092.0
2018,90045,1924.0
2018,90046,1614.0
2018,90047,1198.0
2018,90048,2103.0
2018,90049,2149.0
2018,90056,1740.0
2018,90057,1018.0
2018,90058,632.0
2018,90059,988.0
2018,90061,1158.0
2018,90062,1185.0
2018,90063,1118.0
2018,90064,1936.0
2018,90065,1250.0
2018,90066,1698.0
2018,90067,3042.0
2018,90068,1710.0
2018,90069,1773.0
2018,90071,
2018,90073,
2018,90077,2304.0
2018,90079,
2018,90089,
2018,90090,
2018,90094,2967.0
2018,90095,
2018,90210,2422.0
2018,90211,1900.0
2018,90212,2131.0
2018,90230,1664.0
2018,90232,1702.0
2018,90245,1785.0
2018,90247,1228.0
2018,90248,1239.0
2018,90250,1195.0
2018,90262,1161.0
2018,90265,2556.0
2018,90272,2490.0
2018,90275,2678.0
2018,90280,1125.0
2018,90290,2236.0
2018,90291,1972.0
2018,90292,2851.0
2018,90293,2074.0
2018,90301,1221.0
2018,90302,1275.0
2018,90304,1135.0
2018,90305,1453.0
2018,90402,1893.0
2018,90403,1900.0
2018,90404,1579.0
2018,90405,1685.0
2018,90501,1367.0
2018,90502,1464.0
2018,90504,1474.0
2018,90710,1166.0
2018,90717,1312.0
2018,90731,1267.0
2018,90732,1961.0
2018,90744,1111.0
2018,90745,1416.0
2018,90802,1228.0
2018,90810,1181.0
2018,90813,1071.0
2018,91011,2851.0
2018,91030,1660.0
2018,91040,1400.0
2018,91042,1361.0
2018,91105,2338.0
2018,91201,1535.0
2018,91204,1395.0
2018,91205,1378.0
2018,91206,1558.0
2018,91214,1840.0
2018,91302,2356.0
2018,91303,1446.0
2018,91304,1419.0
2018,91306,1354.0
2018,91307,2727.0
2018,91311,1825.0
2018,91316,1663.0
2018,91321,1539.0
2018,91324,1636.0
2018,91325,1490.0
2018,91326,1895.0
2018,91330,
2018,91331,1387.0
2018,91335,1395.0
2018,91340,1343.0
2018,91342,1525.0
2018,91343,1311.0
2018,91344,1754.0
2018,91345,1646.0
2018,91352,1347.0
2018,91356,1546.0
2018,91364,2186.0
2018,91367,2066.0
2018,91371,
2018,91401,1318.0
2018,91402,1241.0
2018,91403,1749.0
2018,91405,1224.0
2018,91406,1357.0
2018,91411,1361.0
2018,91423,1791.0
2018,91436,2312.0
2018,91501,1653.0
2018,91504,1580.0
2018,91505,1808.0
2018,91506,1587.0
2018,91601,1440.0
2018,91602,1702.0
2018,91604,1840.0
2018,91605,1305.0
2018,91606,1243.0
2018,91607,1485.0
2018,91608,
2018,91754,1296.0
2018,91801,1357.0
2018,91803,1324.0
2019,90001,1150.0
2019,90002,1187.0
2019,90003,1212.0
2019,90004,1307.0
2019,90005,1235.0
2019,90006,1116.0
2019,90007,1182.0
2019,90008,1203.0
2019,90010,1931.0
2019,90011,1178.0
2019,90012,1688.0
2019,90013,741.0
2019,90014,1710.0
2019,90015,1375.0
2019,90016,1238.0
2019,90017,1117.0
2019,90018,1189.0
2019,90019,1407.0
2019,90020,1376.0
2019,90021,647.0
2019,90023,1139.0
2019,90024,2265.0
2019,90025,2062.0
2019,90026,1355.0
2019,90027,1468.0
2019,90028,1419.0
2019,90029,1200.0
2019,90031,1161.0
2019,90032,1205.0
2019,90033,1091.0
2019,90034,1727.0
2019,90035,1921.0
2019,90036,2265.0
2019,90037,1106.0
2019,90038,1330.0
2019,90039,1727.0
2019,90041,1460.0
2019,90042,1342.0
2019,90043,1137.0
2019,90044,1137.0
2019,90045,2132.0
2019,90046,1699.0
2019,90047,1241.0
2019,90048,2144.0
2019,90049,2238.0
2019,90056,1826.0
2019,90057,1079.0
2019,90058,635.0
2019,90059,986.0
2019,90061,1179.0
2019,90062,1255.0
2019,90063,1175.0
2019,90064,1955.0
2019,90065,1318.0
2019,90066,1783.0
2019,90067,3045.0
2019,90068,1770.0
2019,90069,1832.0
2019,90071,1671.0
2019,90073,
2019,90077,2566.0
2019,90079,
2019,90089,
2019,90090,
2019,90094,3042.0
2019,90095,
2019,90210,2488.0
2019,90211,1922.0
2019,90212,2323.0
2019,90230,1789.0
2019,90232,1778.0
2019,90245,1928.0
2019,90247,1290.0
2019,90248,1275.0
2019,90250,1271.0
2019,90262,1212.0
2019,90265,2396.0
2019,90272,2537.0
2019,90275,2645.0
2019,90280,1160.0
